116,7,18,"""Crazy Fake Plan""",P
117,7,20,"""Snow Tubing""",D
118,7,21,"""Chili Cook Off""",D
119,7,23,"""Gymblonski""",P
120,7,24," ""Guys Night 2""",D
121,7,29,"""Rigby Goes to the Prom""",P
122,7,34," ""Pam I Am""",P
123,7,38 & 39,"""Rigby's Graduation Day Special""",P
-,-,-,-,With season 8 I recommend watching it all for better ovall experience
124,8,1,"""One Space Day at a Time""",P
125,8,3,"""Welcome to Space""",P
126,8,7,"""The Dream Warrior""",P
127,8,9,"""Fries Night""",D
128,8,15," ""Space Escape""",P
129,8,16,"""New Beds""",P
130,8,18," ""Alpha Dome""",D
131,8,19 & 20,"""Terror Tales of the Park VI""",S
132,8,21,"""The Ice Tape""",P
133,8,22," ""The Key to the Universe""",P
134,8,23,"""No Train No Gain""",P
135,8,24 & 25,"""Christmas in Space""",P
136,8,26,"""Kill 'Em with Kindness""",P
137,8,27,"""Meet the Seer""",P
138,8,28," ""Cheer Up Pops""",P
139,8,"29 , 30 & 31","""A Regular Epic Final Battle""",P
